symbol,date,feature,horizon,variant,n,rank_ic,ic,tstat,edge_bps,p_value
APP,2026-01-15,micro_price_zscore,300,count_window,173,0.06670826952394819,0.015860968967579624,0.8742712361143764,,
APP,2026-01-15,micro_price_zscore,300,horizon_window,103,0.11383604972982471,0.11395139007786541,1.151523563531666,,
APP,2026-01-15,realized_vol_30s_zscore,300,count_window,107,0.07874508020297386,0.07601446170387474,0.8094103530775901,,
APP,2026-01-15,realized_vol_30s_zscore,300,horizon_window,82,0.12090638978678943,0.09570049501953738,1.0894116441053545,,
APP,2026-01-15,kyle_lambda_60s_zscore,300,count_window,160,-0.05693005745720261,-0.05352703636016051,-0.7167621930628036,,
APP,2026-01-15,kyle_lambda_60s_zscore,300,horizon_window,98,-0.1317126663223865,-0.10405355477124745,-1.3018571625583009,,
APP,2026-01-15,kyle_alignment,300,kyle_legacy_win,98,0.003920968574871373,-0.058542477509374406,0.038417784542230854,,
APP,2026-01-15,kyle_alignment,300,kyle_causal_win,98,-0.1317126663223865,-0.10405355477124745,-1.3018571625583009,,
APP,2026-01-15,ofi_kyle_input,300,ofi_ewma_zscore,82,0.19868090247167533,0.15285945272432108,1.8132036216320542,10.353002000877574,
APP,2026-01-15,ofi_kyle_input,300,ofi_integrated,86,0.033161941601018916,-0.0007663777555304367,0.3041014735338136,-6.607525020234119,
APP,2026-01-15,h8_disloc_lambda,300,lambda_elevated|incl,47,0.3418131359851989,0.30444515710314074,2.4399132239742856,14.241500594659747,0.018157399036860228
APP,2026-01-15,h8_disloc_lambda,300,lambda_baseline|incl,36,-0.18712998712998713,-0.25290397314938523,-1.1107674821268039,,0.2766842487899226
APP,2026-01-15,h8_disloc_lambda,300,lambda_elevated|primary,40,0.3294559099437148,0.2851652970923039,2.1509903489154247,17.210472992703846,0.037376317402801264
APP,2026-01-15,h8_disloc_lambda,300,lambda_baseline|primary,31,-0.24637096774193548,-0.28125944624704435,-1.3689451768433052,,0.18317123374436606
APP,2026-01-15,h8_disloc_lambda,300,lambda_elevated|binary,5,0.0,-0.7343862064235697,0.0,-80.21194503293442,1.0
APP,2026-01-15,h8_disloc_lambda,300,lambda_baseline|binary,2,,,,,
APP,2026-01-15,h8_disloc_lambda,300,lambda_contrast|primary,31,0.5758268776856503,,3.792845100876631,,
APP,2026-01-20,ofi_ewma_zscore,300,count_window,105,-0.08648646883826336,-0.16215168229494023,-0.8810430399399662,,
APP,2026-01-20,ofi_ewma_zscore,300,horizon_window,79,-0.007156767283349562,-0.06253711018808214,-0.06280198639829504,,
APP,2026-01-20,micro_price_zscore,300,count_window,105,-0.07496371552975327,-0.026167149907216334,-0.7629453484578443,,
APP,2026-01-20,micro_price_zscore,300,horizon_window,85,0.016884893492280634,0.045140653174597596,0.15385063359495008,,
APP,2026-01-20,realized_vol_30s_zscore,300,count_window,105,0.007243189003841331,-0.01562370642098705,0.07351226817673476,,
APP,2026-01-20,realized_vol_30s_zscore,300,horizon_window,79,-0.029040895813047713,0.09748182030778252,-0.2549403541996691,,
APP,2026-01-20,kyle_lambda_60s_zscore,300,count_window,105,0.054725540370493146,0.016918836666395393,0.5562371326897312,,
APP,2026-01-20,kyle_lambda_60s_zscore,300,horizon_window,82,-0.001382222657567941,-0.009072815151794457,-0.012362987099442405,,
APP,2026-01-20,kyle_alignment,300,kyle_legacy_win,82,0.0777636290419129,-0.014629846741142774,0.6976516548047126,,
APP,2026-01-20,kyle_alignment,300,kyle_causal_win,82,-0.001382222657567941,-0.009072815151794457,-0.012362987099442405,,
APP,2026-01-20,ofi_kyle_input,300,ofi_ewma_zscore,79,-0.007156767283349562,-0.06253711018808214,-0.06280198639829504,-21.183068881171717,
APP,2026-01-20,ofi_kyle_input,300,ofi_integrated,79,-0.01124634858812074,-0.29468764497929756,-0.09869254988077084,-14.931630327604246,
APP,2026-01-20,h8_disloc_lambda,300,lambda_elevated|incl,38,-0.018929861035124194,-0.0978922487328321,-0.11359952164022459,-10.79573460526779,0.9108202762745458
APP,2026-01-20,h8_disloc_lambda,300,lambda_baseline|incl,42,-0.12033060529940848,-0.347501422507291,-0.76660783877,,0.4501750880880866
APP,2026-01-20,h8_disloc_lambda,300,lambda_elevated|primary,34,-0.034988540870893814,-0.09328976275830313,-0.19804633719650008,-6.955927804446513,0.8454810170595776
APP,2026-01-20,h8_disloc_lambda,300,lambda_baseline|primary,35,-0.2235294117647059,-0.4543116043116795,-1.3174129660349192,,0.19837742960670254
APP,2026-01-20,h8_disloc_lambda,300,lambda_elevated|binary,0,,,,,
APP,2026-01-20,h8_disloc_lambda,300,lambda_baseline|binary,2,,,,,
APP,2026-01-20,h8_disloc_lambda,300,lambda_contrast|primary,34,0.18854087089381208,,1.0860257244288753,,
APP,2026-01-22,ofi_ewma_zscore,300,count_window,135,-0.013049584542343541,-0.19240410257855375,-0.1505079662401099,,
APP,2026-01-22,ofi_ewma_zscore,300,horizon_window,84,-0.09575782120076946,-0.27668601141275195,-0.8711270749477601,,
